id,title,director,actors,genre,description,year
2416,Yat goh ho yan,Sammo Kam-Bo Hung,"Jackie Chan, Richard Norton, Miki Lee, Karen McLymont, Gabrielle Fitzpatrick, Vince Poletto, Barry Otto, Sammo Kam-Bo Hung, Emil Chau, Joyce Godenzi, Peter Houghton, Peter Lindsay, David Will No, Rachel Blakely, Judy Green","Action, Comedy, Crime","A Chinese chef accidentally gets involved with a news reporter who filmed a drug bust that went awry, and is now being chased by gangs who are trying to get the video tape.",1997
2417,Swingers,Doug Liman,"Jon Favreau, Vince Vaughn, Ron Livingston, Patrick Van Horn, Alex Désert, Heather Graham, Deena Martin, Katherine Kendall, Brooke Langton, Blake Lindsley, Kevin James Kelly, Stephanie Ittleson, Vernon Vaughn, Joan Favreau, Rio Hackford","Comedy, Drama",Wannabe actors become regulars in the stylish neo-lounge scene; Trent teaches his friend Mike the unwritten rules of the scene.,1996
2418,Tesis,Alejandro Amenábar,"Ana Torrent, Fele Martínez, Eduardo Noriega, Xabier Elorriaga, Miguel Picazo, Nieves Herranz, Rosa Campillo, Paco Hernández, Rosa Ávila, Teresa Castanedo, José Miguel Caballero, Joserra Cadiñanos, Julio Vélez, Pilar Ortega, Olga Margallo","Horror, Mystery, Thriller","While doing a thesis about violence, Ángela finds a snuff video where a girl is tortured until death. Soon she discovers that the girl was a former student in her faculty...",1996
2419,That Thing You Do!,Tom Hanks,"Tom Everett Scott, Liv Tyler, Johnathon Schaech, Steve Zahn, Ethan Embry, Tom Hanks, Charlize Theron, Obba Babatundé, Giovanni Ribisi, Chris Ellis, Alex Rocco, Bill Cobbs, Peter Scolari, Rita Wilson, Chris Isaak","Comedy, Drama, Music","A local Pennsylvania band scores a one hit wonder in 1964 and rides the star-making machinery as long as they can, with lots of help from its manager.",1996
2420,A Time to Kill,Joel Schumacher,"Matthew McConaughey, Sandra Bullock, Samuel L. Jackson, Kevin Spacey, Oliver Platt, Charles S. Dutton, Brenda Fricker, Donald Sutherland, Kiefer Sutherland, Patrick McGoohan, Ashley Judd, Tonea Stewart, RaéVen Kelly, Darrin Mitchell, LaConte McGrew","Crime, Drama, Thriller","In Canton, Mississippi, a fearless young lawyer and his assistant defend a black man accused of murdering two white men who raped his ten-year-old daughter, inciting violent retribution and revenge from the Ku Klux Klan.",1996
2421,Tin Cup,Ron Shelton,"Kevin Costner, Rene Russo, Don Johnson, Cheech Marin, Linda Hart, Dennis Burkley, Rex Linn, Lou Myers, Richard Lineback, George Perez, Mickey Jones, Michael Milhoan, Gary McCord, Craig Stadler, Peter Jacobsen","Comedy, Drama, Romance",A washed up golf pro working at a driving range tries to qualify for the US Open in order to win the heart of his successful rival's girlfriend.,1996
2422,Trainspotting,Danny Boyle,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd, Robert Carlyle, Kelly Macdonald, Peter Mullan, James Cosmo, Eileen Nicholas, Susan Vidler, Pauline Lynch, Shirley Henderson, Stuart McQuarrie, Irvine Welsh, Dale Winton",Drama,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",1996
2423,Trees Lounge,Steve Buscemi,"Carol Kane, Mark Boone Junior, Steve Buscemi, Bronson Dudley, Anthony LaPaglia, Michael Buscemi, Elizabeth Bracco, John Ventimiglia, Steven Randazzo, Suzanne Shepherd, Rockets Redglare, Joe Lisi, Debi Mazar, Eszter Balint, Richard Boes","Comedy, Drama","Tommy is an unemployed mechanic who spends most of his time in a bar (Trees Lounge) in a small blue collar town. He seems to always be thinking, ""If only X then I could stop drinking"".",1996
2424,The Trigger Effect,David Koepp,"Kyle MacLachlan, Elisabeth Shue, Dermot Mulroney, Richard T. Jones, Bill Smitrovich, Michael Rooker, Tori Kristiansen, Tyra Kristiansen, Rick Worthy, Edhem Barker, Tyrone Tann, David O'Donnell, Monica Torres, Greg Grunberg, Kerri Vickers","Drama, Thriller","A blackout leaves those affected to consider what is necessary, what is legal, and what is questionable, in order to survive in a predatory environment.",1996
2425,The Truth About Cats & Dogs,Michael Lehmann,"Uma Thurman, Janeane Garofalo, Ben Chaplin, Jamie Foxx, James McCaffrey, Richard Coca, Stanley DeSantis, Antoinette Valente, Mitch Rouse, La Tanya M. Fisher, Faryn Einhorn, David Cross, Mary Lynn Rajskub, Bob Odenkirk, Dechen Thurman","Comedy, Romance",A successful veternarian & radio show host with low self-esteem asks her model friend to impersonate her when a handsome man wants to see her.,1996
2426,Twister,Jan de Bont,"Helen Hunt, Bill Paxton, Cary Elwes, Jami Gertz, Philip Seymour Hoffman, Lois Smith, Alan Ruck, Sean Whalen, Scott Thomson, Todd Field, Joey Slotnick, Wendle Josepher, Jeremy Davies, Zach Grenier, Gregory Sporleder","Action, Adventure, Thriller","Bill and Jo Harding, advanced storm chasers on the brink of divorce, must join together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes.",1996
2427,Un héros très discret,Jacques Audiard,"Mathieu Kassovitz, Anouk Grinberg, Sandrine Kiberlain, Jean-Louis Trintignant, Albert Dupontel, Nadia Barentin, Bernard Bloch, François Chattot, Philippe Duclos, Danièle Lebrun, Armand de Baudry d'Asson, Wilfred Benaïche, François Berléand, Philippe Berodot, Gilles Del Frate","Drama, Comedy",Set in France at the end of World War II Albert Dehousse finds out his father wasn't a war hero and his mother is a collaborator. He leaves his wife and goes to Paris. Gradually he ...,1996
2428,Up Close & Personal,Jon Avnet,"Robert Redford, Michelle Pfeiffer, Stockard Channing, Joe Mantegna, Kate Nelligan, Glenn Plummer, James Rebhorn, Scott Bryce, Raymond Cruz, Dedee Pfeiffer, Miguel Sandoval, Noble Willingham, James Karen, Brian Markinson, Michael Laskin","Drama, Romance","An ambitious young woman, determined to build a career in TV journalism, gets good advice from her first boss, and they fall in love.",1996
2429,Waiting for Guffman,Christopher Guest,"Deborah Theaker, Michael Hitchcock, Scott Williamson, Larry Miller, Don Lake, Christopher Guest, Fred Willard, Catherine O'Hara, Parker Posey, David Cross, Eugene Levy, James McQueen, Turk Pipkin, Jerry Turman, Bob Balaban",Comedy,An aspiring director and the marginally talented amateur cast of a hokey small-town Missouri musical production go overboard when they learn that someone from Broadway will be in attendance.,1996
2430,Walking and Talking,Nicole Holofcener,"Amy Braverman, Miranda Rhyne, Catherine Keener, Anne Heche, Randall Batinkoff, Brenda Denmark, Vincent Pastore, Liev Schreiber, Todd Field, Kevin Corrigan, Joseph Siravo, Rafael Alvarez, Ritamarie Kelly, Steve Cohen, Jordan Levinson","Comedy, Drama, Romance","Just as Amelia thinks she's over her anxiety and insecurity, her best friend announces her engagement, bringing her anxiety and insecurity right back.",1996
2431,White Squall,Ridley Scott,"Jeff Bridges, Caroline Goodall, John Savage, Scott Wolf, Jeremy Sisto, Ryan Phillippe, David Lascher, Eric Michael Cole, Jason Marsden, David Selby, Julio Oscar Mechoso, Zeljko Ivanek, Balthazar Getty, Ethan Embry, Jordan Clarke","Adventure, Drama",Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,1996
2432,Dead Man on Campus,Alan Cohn,"Tom Everett Scott, Mark-Paul Gosselaar, Poppy Montgomery, Lochlyn Munro, Randy Pearlstein, Corey Page, Alyson Hannigan, Mari Morrow, Dave Ruby, Mark Carapezza, Jeff Tarpley, Jason Segel, Linda Cardellini, Aeryk Egan, Judyann Elder",Comedy,"Two college roommates go out and party, resulting in bad grades. They learn of the clause that says, ""If your roommate dies, you get an A,"" and decide to find someone who is on the verge, so to speak, to move in with them.",1998
2433,One Eight Seven,Kevin Reynolds,"Samuel L. Jackson, John Heard, Kelly Rowan, Clifton Collins Jr., Tony Plana, Karina Arroyave, Lobo Sebastian, Jack Kehler, Jonah Rooney, Demetrius Navarro, Ebony Monique Solomon, Jonny Bogris, Dominic Hoffman, Martha Velez, Method Man","Drama, Thriller","15 months after being stabbed 9 times by a student at work as a high school teacher in NYC, Mr. Garfield is working in LA as a substitute teacher come full-time. He refuses to be a victim anymore.",1997
2434,Absolute Power,Clint Eastwood,"Clint Eastwood, Gene Hackman, Ed Harris, Laura Linney, Scott Glenn, Dennis Haysbert, Judy Davis, E.G. Marshall, Melora Hardin, Kenneth Welsh, Penny Johnson Jerald, Richard Jenkins, Mark Margolis, Elaine Kagan, Alison Eastwood","Action, Crime, Drama",Career thief Luther Whitney (Clint Eastwood) witnesses a horrific crime involving U.S. President Alan Richmond (Gene Hackman).,1997
2435,Addicted to Love,Griffin Dunne,"Meg Ryan, Matthew Broderick, Kelly Preston, Tchéky Karyo, Maureen Stapleton, Nesbitt Blaisdell, Remak Ramsay, Lee Wilkof, Dominick Dunne, Susan Forristal, Larry Pine, Debbon Ayer, Maurizio Benazzo, Paolo Calamari, Helmar Augustus Cooper","Comedy, Romance","Maggie's and Sam's former partners are in love; she wants revenge and he wants his lost love back, so they work together to break up the happy couple.",1997
2436,Affliction,Paul Schrader,"Nick Nolte, Brigid Tierney, Holmes Osborne, Jim True-Frost, Tim Post, Christopher Heyerdahl, Marian Seldes, Janine Theriault, Mary Beth Hurt, Paul Stewart, Sissy Spacek, Wayne Robson, Sean McCann, Sheena Larkin, Penny Mancuso","Drama, Mystery, Thriller",A deeply troubled small town cop investigates a suspicious hunting death while events occur that cause him to mentally disintegrate.,1997
2437,Afterglow,Alan Rudolph,"Nick Nolte, Julie Christie, Lara Flynn Boyle, Jonny Lee Miller, Jay Underwood, Domini Blythe, Yves Corbeil, Alan Fawcett, Michèle-Barbara Pelletier, France Castel, Genevieve Bissonnette, Claudia Besso, Ivan Smith, Ellen David, Don Jordan","Comedy, Drama, Romance",A handyman with marital problems meets a housewife with the same.,1997
2438,Air Force One,Wolfgang Petersen,"Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson, Liesel Matthews, Paul Guilfoyle, Xander Berkeley, William H. Macy, Dean Stockwell, Tom Everett, Jürgen Prochnow, Donna Bullock, Michael Ray Miller, Carl Weintraub, Elester Latham","Action, Drama, Thriller","Communist Radicals hijack Air Force One with The U.S. President and his family on board. The Vice President negotiates from Washington D.C., while the President, a Veteran, fights to rescue the hostages on board.",1997
2439,Alien Resurrection,Jean-Pierre Jeunet,"Sigourney Weaver, Winona Ryder, Dominique Pinon, Ron Perlman, Gary Dourdan, Michael Wincott, Kim Flowers, Dan Hedaya, J.E. Freeman, Brad Dourif, Raymond Cruz, Leland Orser, Carolyn Campbell, Marlene Bush, David St. James","Action, Horror, Sci-Fi","200 years after her death, Ellen Ripley is revived as a powerful human/alien hybrid clone. Along with a crew of space pirates, she must again battle the deadly aliens and stop them from reaching Earth.",1997
2440,Amistad,Steven Spielberg,"Morgan Freeman, Nigel Hawthorne, Anthony Hopkins, Djimon Hounsou, Matthew McConaughey, David Paymer, Pete Postlethwaite, Stellan Skarsgård, Razaaq Adoti, Abu Bakaar Fofanah, Anna Paquin, Tomas Milian, Chiwetel Ejiofor, Derrick N. Ashong, Geno Silva","Drama, History","In 1839, the revolt of Mende captives aboard a Spanish owned ship causes a major controversy in the United States when the ship is captured off the coast of Long Island. The courts must decide whether the Mende are slaves or legally free.",1997
2441,Anastasia,"Don Bluth, Gary Goldman","Meg Ryan, John Cusack, Kelsey Grammer, Christopher Lloyd, Hank Azaria, Bernadette Peters, Kirsten Dunst, Angela Lansbury, Rick Jones, Andrea Martin, Glenn Walker Harris Jr., Debra Mooney, Arthur Malet, Charity James, Liz Callaway","Animation, Adventure, Drama","The last surviving child of the Russian Royal Family joins two con men to reunite with her grandmother, the Dowager Empress, while the undead Rasputin seeks her death.",1997
2442,The Apostle,Robert Duvall,"Todd Allen, Paul Bagget, Lenore Banks, John Beasley, Mary Lynette Braxton, Brett Brock, Christopher Canady, Christian Canady, June Carter Cash, Elizabeth Chisolm, William Atlas Cole, Frank Collins Jr., Carl D. Cook, Naomi Craig, Wayne Dehart",Drama,"After his happy life spins out of control, a preacher from Texas changes his name, goes to Louisiana and starts preaching on the radio.",1997
2443,Apt Pupil,Bryan Singer,"Brad Renfro, Ian McKellen, Joshua Jackson, Mickey Cottrell, Michael Reid MacKay, Ann Dowd, Bruce Davison, James Karen, Marjorie Lovett, David Cooley, Blake Anthony Tibbetts, Heather McComb, Katherine Malone, Grace Sinden, David Schwimmer","Crime, Drama, Thriller",A boy blackmails his neighbor after suspecting him to be a Nazi war criminal.,1998
2444,Austin Powers: International Man of Mystery,Jay Roach,"Mike Myers, Elizabeth Hurley, Michael York, Mimi Rogers, Robert Wagner, Seth Green, Fabiana Udenio, Mindy Sterling, Paul Dillon, Charles Napier, Will Ferrell, Joann Richter, Anastasia Sakelaris, Afifi Alaouie, Monet Mazur","Adventure, Comedy","A 1960s secret agent is brought out of cryofreeze to oppose his greatest enemy in the 1990s, where his social attitudes are glaringly out of place.",1997
2445,Bean,Mel Smith,"Rowan Atkinson, Peter MacNicol, John Mills, Pamela Reed, Harris Yulin, Burt Reynolds, Larry Drake, Danny Goldring, Johnny Galecki, Chris Ellis, Andrew Lawrence, Peter Egan, Peter Capaldi, June Brown, Peter James","Adventure, Comedy, Family",The bumbling Mr. Bean travels to America when he is given the responsibility of bringing a highly valuable painting to a Los Angeles museum.,1997
2446,Faa yeung nin wa,Kar-Wai Wong,"Maggie Cheung, Tony Chiu-Wai Leung, Ping Lam Siu, Tung Cho 'Joe' Cheung, Rebecca Pan, Kelly Lai Chen, Man-Lei Chan, Kam-Wah Koo, Szu-Ying Chien, Paulyn Sun, Roy Cheung, Po-chun Chow, Hsien Yu","Drama, Romance","Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",2000
2447,The Big Lebowski,"Joel Coen, Ethan Coen","Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi, David Huddleston, Philip Seymour Hoffman, Tara Reid, Philip Moon, Mark Pellegrino, Peter Stormare, Flea, Torsten Voges, Jimmie Dale Gilmore, Jack Kehler, John Turturro","Comedy, Crime, Sport","Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",1998
2448,Boogie Nights,Paul Thomas Anderson,"Luis Guzmán, Burt Reynolds, Julianne Moore, Rico Bueno, John C. Reilly, Nicole Ari Parker, Don Cheadle, Heather Graham, Mark Wahlberg, William H. Macy, Samson Barkhordarian, Nina Hartley, Brad Braeden, Joanna Gleason, Lawrence Hudd",Drama,The story of a young man's adventures in the California pornography industry of the late 1970s and early 1980s.,1997
2449,Border,J.P. Dutta,"Sunny Deol, Jackie Shroff, Sunil Shetty, Akshaye Khanna, Sudesh Berry, Puneet Issar, Kulbhushan Kharbanda, Tabu, Rakhee Gulzar, Pooja Bhatt, Sharbani Mukherji, Sapna Bedi, Amrit Pal, Mahabir Bhullar, Sanjeeva","Action, Drama, History","In 1971, along the border region of Longewala, a small battalion of Indian soldiers goes up against a large Pakistani strike force.",1997
2450,Le bossu,Philippe de Broca,"Daniel Auteuil, Fabrice Luchini, Vincent Perez, Marie Gillain, Yann Collette, Jean-François Stévenin, Didier Pain, Charlie Nelson, Claire Nebout, Philippe Noiret, Jacques Sereys, Renato Scarpa, Ludovica Tinghi, James Thierrée, Sacha Bourdo","Drama, Adventure","The Comte de Gonzague schemes against his cousin, the Duc de Nevers, even though he is the Duke's heir and will inherit his estates. The Count has kept secret the existence of the Duke's ...",1997
2451,The Boxer,Jim Sheridan,"Daniel Day-Lewis, Daragh Donnelly, Frank Coughlan, Sean Kearns, Lorraine Pilkington, Niall Shanahan, John Wall, Maria McDermottroe, Carol Moore, Kate Perry, Andrea Irvine, Joan McGarry, Theresa McComb, Catherine Dunne, Kerrie Duggan","Drama, Romance, Sport","Young Danny Flynn is released from prison 14 years after ""taking the rap"" for the IRA and tries to rebuild his life in his old Belfast neighborhood.",1997
2452,Brat,Aleksey Balabanov,"Sergey Bodrov, Viktor Sukhorukov, Svetlana Pismichenko, Mariya Zhukova, Yuriy Kuznetsov, Vyacheslav Butusov, Irina Rakshina, Sergey Murzin, Anatoliy Zhuravlyov, Igor Shibanov, Andrey Fedortsov, Sergey Debizhev, Aleksei Sevostyanov, Rinat Ibragimov, Vladimir Ermilov","Crime, Drama, Romance","An ex-soldier with a personal honor code enters the family crime business in St. Petersburg, Russia.",1997
2453,Breakdown,Jonathan Mostow,"Kurt Russell, J.T. Walsh, Kathleen Quinlan, M.C. Gainey, Jack Noseworthy, Rex Linn, Ritch Brinkley, Moira Sinise, Kim Robillard, Thomas Kopache, Jack McGee, Vincent Berry, Helen Duffy, Ancel Cook, Gene Hartline","Crime, Drama, Mystery",A man searches for his missing wife after his car breaks down in the middle of the desert.,1997
2454,Buffalo '66,Vincent Gallo,"Vincent Gallo, Christina Ricci, Ben Gazzara, Mickey Rourke, Rosanna Arquette, Jan-Michael Vincent, Anjelica Huston, Kevin Pollak, Alex Karras, John Sansone, Manny Fried, John Rummel, Bob Wahl, Penny Wolfgang, Anthony Mydcarz","Comedy, Crime, Drama","After being released from prison, Billy is set to visit his parents with his wife, whom he does not actually have. This provokes Billy to act out, as he kidnaps a girl and forces her to act as his wife for the visit.",1998
2455,Bulworth,Warren Beatty,"Kimberly Deauna Adams, Vinny Argiro, Sean Astin, Kirk Baltz, Ernie Lee Banks, Amiri Baraka, Christine Baranski, Adilah Barnes, Warren Beatty, Graham Beckel, Halle Berry, Brandon N. Bowlin, Mongo Brownlee, Thomas Jefferson Byrd, J. Kenneth Campbell","Comedy, Drama, Romance",A suicidally disillusioned liberal politician puts a contract out on himself and takes the opportunity to be bluntly honest with his voters by affecting the rhythms and speech of hip-hop music and culture.,1998
2456,La vita è bella,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano, Sergio Bini Bustric, Marisa Paredes, Horst Buchholz, Lidia Alfonsi, Giuliana Lojodice, Amerigo Fontani, Pietro De Silva, Francesco Guzzo, Raffaella Lebboroni, Claudio Alfonsi, Gil Baroni","Comedy, Drama, Romance","When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",1997
2457,Career Girls,Mike Leigh,"Katrin Cartlidge, Lynda Steadman, Kate Byers, Mark Benton, Andy Serkis, Joe Tucker, Margo Stanley, Michael Healy","Comedy, Drama","2 young women reunite and rekindle their friendship after having said goodbye at their college graduation, six years earlier.",1997
2458,Carne trémula,Pedro Almodóvar,"Javier Bardem, Francesca Neri, Liberto Rabal, Ángela Molina, José Sancho, Penélope Cruz, Pilar Bardem, Álex Angulo, Mariola Fuentes, Yael Be, Josep Molins, Daniel Lanchas, María Rosenfeldt",Drama,"After leaving jail, Víctor is still in love with Elena, but she's married to the former cop -now basketball player- who became paralysed by a shot from Víctor's gun...",1997
2459,The Castle,Rob Sitch,"Michael Caton, Anne Tenney, Stephen Curry, Anthony Simcoe, Sophie Lee, Wayne Hope, Tiriel Mora, Eric Bana, Charles 'Bud' Tingwell, Robyn Nevin, Costas Kilias, Bryan Dawe, Monty Maizels, Lynda Gibson, John Benton","Comedy, Drama","A working-class family from Melbourne, Australia fights city hall after being told they must vacate their beloved family home to allow for infrastructural expansion.",1997
2460,Chasing Amy,Kevin Smith,"Ethan Suplee, Ben Affleck, Scott Mosier, Jason Lee, Casey Affleck, Dwight Ewell, Joey Lauren Adams, Guinevere Turner, Carmen Llywelyn, Brian O'Halloran, Matt Damon, Alexander Goebbel, Tony Torn, Rebecca Waxman, Paris Petrick","Comedy, Drama, Romance","Holden and Banky are comic book artists. Everything's going good for them until they meet Alyssa, also a comic book artist. Holden falls for her, but his hopes are crushed when he finds out she's a lesbian.",1997
2461,"Crna macka, beli macor",Emir Kusturica,"Bajram Severdzan, Srdjan 'Zika' Todorovic, Branka Katic, Florijan Ajdini, Ljubica Adzovic, Zabit Memedov, Sabri Sulejmani, Jasar Destani, Stojan Sotirov, Predrag Lakovic, Predrag 'Miki' Manojlovic, Salija Ibraimova, Zdena Hurtocakova, Adnan Bekir, Irfan Jagli","Comedy, Crime, Romance",A small time hustler gets more than he bargained for when he tries to repay his debts by marrying his son to a sister of a troublesome gangster.,1998
2462,Chun gwong cha sit,Kar-Wai Wong,"Leslie Cheung, Tony Chiu-Wai Leung, Chen Chang, Gregory Dayton, Shirley Kwan","Drama, Romance",A couple take a trip to Argentina but both men find their lives drifting apart in opposite directions.,1997
2463,Bacheha-Ye aseman,Majid Majidi,"Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi, Nafise Jafar-Mohammadi, Fereshte Sarabandi, Kamal Mirkarimi, Behzad Rafi, Dariush Mokhtari, Mohammad-Hasan Hosseinian, Masume Dair, Kambiz Peykarnegar, Hasan Roohparvari, Abbas-Ali Roomandi, Jafar Seyfollahi, Qolamreza Maleki","Drama, Family, Sport","After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",1997
2464,Clay Pigeons,David Dobkin,"Joaquin Phoenix, Gregory Sporleder, Georgina Cates, Scott Wilson, Vince Vieluf, Wayne Brennan, Joseph D. Reitman, Vince Vaughn, Nicole Arlyn, Jeff Olson, Monica Moench, Kevin Rahm, Jesse Bennett, Phil Morris, Janeane Garofalo","Comedy, Crime","After hearing that his wife sleeps with Clay, Earl kills himself, making it look like Clay shot him. She doesn't like it when Clay sees another woman instead. Bodies start piling up.",1998
2465,Con Air,Simon West,"Colm Meaney, Mykelti Williamson, Nick Chinlund, Renoly Santiago, John Malkovich, Ving Rhames, Dave Chappelle, Rachel Ticotin, Steve Eastin, Steve Buscemi, Danny Trejo, M.C. Gainey, Landry Allbright, John Cusack, Monica Potter","Action, Crime, Thriller",Newly paroled ex-con and former U.S. Ranger Cameron Poe finds himself trapped in a prisoner transport plane when the passengers seize control.,1997
2466,Conspiracy Theory,Richard Donner,"Mel Gibson, Julia Roberts, Patrick Stewart, Cylk Cozart, Steve Kahan, Terry Alexander, Alex McArthur, Rod McLachlan, Michael Potts, Jim Sterling, Rich Hebert, Brian J. Williams, G.A. Aguilar, Cece Neber Labao, Saxon Trainor","Action, Mystery, Thriller","A man obsessed with conspiracy theories becomes a target after one of his theories turns out to be true. Unfortunately, in order to save himself, he has to figure out which theory it is.",1997
2467,Contact,Robert Zemeckis,"Jena Malone, David Morse, Jodie Foster, Geoffrey Blake, William Fichtner, Sami Chester, Timothy McNeil, Laura Elena Surillo, Matthew McConaughey, Tom Skerritt, Henry Strozier, Max Martini, Larry King, Thomas Garner, Conroy Chino","Drama, Mystery, Sci-Fi","Dr. Ellie Arroway (Jodie Foster), after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine.",1997
2468,Cop Land,James Mangold,"Sylvester Stallone, Harvey Keitel, Ray Liotta, Robert De Niro, Peter Berg, Janeane Garofalo, Robert Patrick, Michael Rapaport, Annabella Sciorra, Noah Emmerich, Cathy Moriarty, John Spencer, Frank Vincent, Malik Yoba, Arthur J. Nascarella","Crime, Drama, Thriller","The Sheriff of a suburban New Jersey community, populated by New York City police officers, slowly discovers the town is a front for mob connections and corruption.",1997
2469,Dangerous Beauty,Marshall Herskovitz,"Catherine McCormack, Rufus Sewell, Oliver Platt, Fred Ward, Naomi Watts, Moira Kelly, Jacqueline Bisset, Jeroen Krabbé, Joanna Cassidy, Melina Kanakaredes, Daniel Lapaine, Justine Miceli, Jake Weber, Simon Dutton, Grant Russell","Biography, Drama, Romance","A Venetian courtesan becomes a hero to her city, but later becomes the target of an inquisition by the Church for witchcraft.",1998
2470,The Dancer Upstairs,John Malkovich,"Javier Bardem, Juan Diego Botto, Laura Morante, Elvira Mínguez, Alexandra Lencastre, Oliver Cotton, Luís Miguel Cintra, Javier Manrique, Abel Folk, Marie-Anne Berganza, Lucas Rodríguez, Xabier Elorriaga, Natalia Dicenta, Wolframio Sinué, Ramiro Jiménez","Crime, Drama, Thriller",A police detective in a South American country is dedicated to hunting down a revolutionary guerilla leader.,2002
2471,Dark City,Alex Proyas,"Rufus Sewell, William Hurt, Kiefer Sutherland, Jennifer Connelly, Richard O'Brien, Ian Richardson, Bruce Spence, Colin Friels, John Bluthal, Mitchell Butel, Melissa George, Frank Gallacher, Ritchie Singer, Justin Monjo, Nicholas Bell","Mystery, Sci-Fi, Thriller","A man struggles with memories of his past, which includes a wife he cannot remember, and a nightmarish world without a sun.",1998
2472,Deconstructing Harry,Woody Allen,"Judy Davis, Julia Louis-Dreyfus, Stephanie Roth Haberle, Dan Frazer, Joel Leffert, Lynn Cohen, Richard Benjamin, Joe Buck, Jane Hoffman, Woody Allen, Tobey Maguire, Annette Arnold, Frederick Rolf, Elisabeth Kieselstein-Cord, Lortensia Hayes",Comedy,"Suffering from writer's block and eagerly awaiting his writing award, Harry Block remembers events from his past and scenes from his best-selling books as characters, real and fictional, come back to haunt him.",1997
2473,Deep Rising,Stephen Sommers,"Treat Williams, Famke Janssen, Anthony Heald, Kevin J. O'Connor, Wes Studi, Derrick O'Connor, Jason Flemyng, Cliff Curtis, Clifton Powell, Trevor Goddard, Djimon Hounsou, Una Damon, Clint Curtis, Warren Takeuchi, Linden Banks","Action, Adventure, Horror","A group of heavily armed hijackers board a luxury ocean liner in the South Pacific Ocean to loot it, only to do battle with a series of large-sized, tentacled, man-eating sea creatures who had already invaded the ship.",1998
2474,Desperate Measures,Barbet Schroeder,"Michael Keaton, Andy Garcia, Brian Cox, Marcia Gay Harden, Erik King, Efrain Figueroa, Joseph Cross, Janel Moloney, Richard Riehle, Tracey Walter, Peter Weireter, Keith Diamond, Steve Park, Steven Schub, Neal Matarazzo","Action, Crime, Drama","Frank Conner is an honest police officer who desperately needs to save his son's life. However, after losing all hope, he finds out that a criminal Peter McCabe in jail is his only savior.",1998
2475,The Devil's Advocate,Taylor Hackford,"Keanu Reeves, Al Pacino, Charlize Theron, Jeffrey Jones, Judith Ivey, Connie Nielsen, Craig T. Nelson, Tamara Tunie, Ruben Santiago-Hudson, Debra Monk, Vyto Ruginis, Laura Harrington, Pamela Gray, George Wyner, Chris Bauer","Drama, Mystery, Thriller",An exceptionally adept Florida lawyer is offered a job at a high-end New York City law firm with a high-end boss - the biggest opportunity of his career to date.,1997
2476,The Devil's Own,Alan J. Pakula,"Harrison Ford, Brad Pitt, Margaret Colin, Rubén Blades, Treat Williams, George Hearn, Mitchell Ryan, Natascha McElhone, Paul Ronan, Simon Jones, Julia Stiles, Ashley Carin, Kelly Singer, David O'Hara, David Wilmot","Action, Crime, Drama","A police officer uncovers the real identity of his house-guest, an I.R.A. terrorist in hiding.",1997
2477,Dil To Pagal Hai,Yash Chopra,"Shah Rukh Khan, Madhuri Dixit, Karisma Kapoor, Akshay Kumar, Farida Jalal, Deven Verma, Aruna Irani, Murad Ali, Hemlata Deepak, Suresh Menon, Tanya Mukherjee, Balvinder Singh Suri, Rajesh Tandon, Shruti Ultaf, Priya Varma","Comedy, Drama, Musical","A grand musical about three passionate and dreamy characters: Rahul, Pooja and Nisha. Will their dreams come true? Will they find their true love?",1997
2478,Dobermann,Jan Kounen,"Vincent Cassel, Tchéky Karyo, Monica Bellucci, Antoine Basler, Dominique Bettenfeld, Pascal Demolon, Marc Duret, Romain Duris, François Levantal, Ivan Merat-Barboff, Stéphane Metzger, Chick Ortega, Patrick Rocca, Florence Thomassin, Roland Amstutz","Action, Crime, Thriller","Dobermann is the world's most ruthless bank robber and with his gang rob bank after bank, now in Paris. What can the police do but to let the mad, morally bankrupt police commissioner loose on him?",1997
